Codigo;Categoria;Producto;Formato;Marca;Codigo Wiki;Costo Compra;% Ganancia;Precio Venta;Ganancia $;Stock;Imagen;Activo;Descripcion
A01;Lavandinas;Agua Lavandina al 40%;5L;Officlean;;119.8;70;203.66;83.86;;agua-lavandina.jpg;SI;Garantiza una eliminación eficaz de bacterias, hongos y virus, brindando un alto nivel de desinfección
Dj01;Desodorante;Desodorante Jupiter Aroma Jazmin;360ml;Jupiter;;70.76;40;99.064;28.304;;desodorante jupiter aroma jazmin.jpg;SI;Aromatiza y refresca todo tipo de ambientes.
Dj02;Desodorante;Desodorante Jupiter Aroma Lavanda;360ml;Jupiter;;70.76;40;99.064;28.304;;desodorante jupiter aroma lavanda.jpg;SI;Aromatiza y refresca todo tipo de ambientes.
Dj03;Desodorante;Desodorante Jupiter Aroma Limon;360ml;Jupiter;;70.76;40;99.064;28.304;;desodorante jupiter aroma limón.jpg;SI;Aromatiza y refresca todo tipo de ambientes.
Dj04;Desodorante;Desodorante Jupiter Aroma a Bebe;360ml;Jupiter;;70.76;40;99.064;28.304;;desodorante jupiter aroma bebe.jpg;SI;Aromatiza y refresca todo tipo de ambientes.
Dl01;Detergente;Detergente Lavavajilla;5L;Officlean;;160.56;65;264.92;104.36;;detergente-lavavajilla.jpg;SI;Su formula de alto rendimiento elimina eficazmente la grasa y los restos de alimentos, dejando platos, vasos, cubiertos y utensilios impecables.
H01;Hipoclorito;Hipoclorito de Sodio al 100%;5L;Officlean;;192.07;50;288.105;96.035;;hipocloritode-sodio.jpg;SI;Desinfectante, blanqueador, limpieza doméstica, mantenimiento de piscinas, desinfección de superficies.
H02;Hipoclorito;Hipoclorito de Sodio al 100%;10L;Officlean;;389.15;50;583.725;194.575;;hipoclorito de sodio.jpg;SI;Desinfectante, blanqueador, limpieza doméstica, mantenimiento de piscinas, desinfección de superficies.
J01;Jabon de mano;Jabón Aroma a Anana;5l;Officlean;;406.16;50;609.24;203.08;;jabón líquido aroma de anana.jpg;SI;Su fórmula especialmente diseñada brinda una experiencia de lavado delicada, cuidando la piel mientras elimina impurezas con facilidad.
J02;Jabon de mano;Jabón Aroma a Manzana;5L;Officlean;;406.16;50;609.24;203.08;;jabón líquido aroma de manzana.jpg;SI;Su fórmula especialmente diseñada brinda una experiencia de lavado delicada, cuidando la piel mientras elimina impurezas con facilidad.
J03;Jabon de mano;Jabón Aroma a Naranja;5L;Officlean;;406.16;50;609.24;203.08;;jabón líquido aroma de naranja.jpg;SI;Su fórmula especialmente diseñada brinda una experiencia de lavado delicada, cuidando la piel mientras elimina impurezas con facilidad.
J04;Jabon de mano;Jabón de Mano Aroma a Coco;5L;Officlean;;406.16;50;609.24;203.08;;jabón líquido aroma coco.jpg;SI;Su fórmula especialmente diseñada brinda una experiencia de lavado delicada, cuidando la piel mientras elimina impurezas con facilidad.
J05;Jabon de mano;Jabón de Mano Aroma Bebe;5L;Officlean;;406.16;50;609.24;203.08;;jabón líquido aroma bebé.jpg;SI;Su fórmula especialmente diseñada brinda una experiencia de lavado delicada, cuidando la piel mientras elimina impurezas con facilidad.
J06;Jabon de mano;Jabón de Mano Sin Olor;5L;Officlean;;329.13;50;493.695;164.565;;jabón líquido sin color ni olor.jpg;SI;Lavado de manos, limpieza general
